idfiltro,Codusu,verfiltro,orden
1857,0,0,34
1858,0,0,29
1859,0,0,30
1860,0,0,28
1861,0,0,27
1862,0,0,26
1863,0,0,25
1864,0,0,24
1865,0,0,23
1866,0,0,33
1869,0,1,0
1891,0,1,4
1892,0,0,33
1893,0,0,26
1894,0,0,51
1895,0,0,48
1896,0,0,44
1897,0,0,5
1898,0,0,46
1899,0,0,31
1902,0,0,13
1903,0,0,17
1904,0,0,57
1905,0,0,51
1906,0,0,56
1907,0,0,57
1908,0,0,58
1912,0,0,38
1913,0,0,50
1914,0,0,49
1915,0,0,54
1916,0,0,45
1917,0,0,22
1918,0,0,21
1923,0,0,9
1926,0,0,53
1927,0,0,56
1928,0,1,6
1929,0,0,34
1930,0,0,18
1932,0,0,37
1933,0,0,34
1934,0,0,42
1935,0,0,49
1936,0,0,46
1937,0,0,14
1938,0,0,48
1939,0,0,36
1940,0,0,8
1941,0,0,9
1942,0,0,18
1943,0,1,2
1944,0,0,60
1945,0,0,54
1946,0,0,62
1947,0,0,59
1948,0,0,58
1949,0,0,17
1950,0,0,18
1951,0,0,19
1952,0,0,41
1953,0,0,52
1954,0,0,51
1955,0,0,65
1956,0,0,37
1957,0,0,25
1958,0,0,26
1959,0,0,27
1960,0,0,28
1961,0,0,29
1962,0,0,23
1963,0,1,3
1964,0,1,10
1965,0,0,16
1966,0,0,34
1967,0,0,15
1968,0,0,53
1969,0,0,61
1970,0,0,45
1971,0,0,40
1972,0,0,40
1973,0,0,50
1974,0,0,44
1975,0,0,39
1976,0,1,1
1977,0,0,56
1978,0,0,57
1979,0,1,6
1980,0,1,11
1981,0,0,43
1982,0,0,12
1983,0,1,4
1984,0,1,3
1985,0,0,21
1986,0,0,38
1987,0,1,9
1988,0,0,58
1989,0,0,57
1990,0,0,40
1991,0,0,56
1992,0,0,23
1993,0,0,12
1994,0,0,53
1995,0,0,38
1996,0,0,21
1997,0,0,55
1998,0,0,10
1999,0,0,66
2000,0,0,14
2001,0,0,15
2002,0,0,22
2003,0,0,35
2004,0,0,19
2005,0,0,28
2006,0,0,29
2007,0,0,30
2008,0,0,31
2009,0,0,13
2010,0,0,44
2011,0,0,49
2012,0,0,80
2013,0,0,81
2014,0,0,48
2015,0,0,16
2016,0,0,84
2017,0,0,85
2018,0,0,86
2019,0,0,87
2020,0,0,88
2021,0,0,89
2022,0,0,90
2023,0,0,91
2024,0,0,92
2025,0,0,93
2026,0,0,94
2027,0,0,95
2028,0,0,96
2029,0,0,97
2030,0,0,98
2031,0,0,99
2032,0,0,100
2033,0,0,101
2034,0,0,102
2035,0,0,103
2036,0,0,104
2037,0,0,105
2038,0,0,106
2039,0,0,107
2040,0,0,108
2041,0,0,109
2042,0,0,110
2043,0,0,111
2044,0,0,112
2045,0,0,113
2046,0,0,114
2047,0,0,115
2048,0,0,116
2049,0,0,117
2050,0,0,118
2051,0,0,119
2052,0,0,120
2053,0,0,121
2054,0,0,122
2055,0,0,123
2056,0,0,124
2057,0,0,125
2058,0,0,47
2060,0,1,8
2061,0,0,129
2062,0,0,25
2063,0,1,7
2064,0,0,32
2065,0,0,133
2066,0,0,62
2067,0,1,0
2068,0,0,59
2211,0,0,40
2213,0,0,0
2214,0,0,1
2215,0,0,120
2216,0,0,121
2217,0,0,100
2218,0,0,18
2219,0,0,42
2221,0,0,4
2222,0,0,5
2223,0,0,6
2224,0,0,7
2225,0,0,8
2229,0,0,12
2231,0,0,2
2233,0,0,12
2234,0,0,28
2235,0,0,7
2236,0,1,1
2237,0,0,20
2238,0,0,24
2239,0,0,22
2240,0,0,18
2241,0,1,5
2242,0,0,26
2243,0,0,27
2244,0,1,1
2245,0,1,4
2246,0,0,23
2247,0,0,25
2248,0,0,16
2249,0,0,17
2250,0,0,18
2251,0,0,19
2252,0,0,21
2253,0,0,21
2254,0,0,22
2255,0,0,23
2256,0,0,24
2257,0,0,25
2258,0,0,26
2259,0,0,27
2260,0,0,30
2261,0,0,14
2262,0,0,30
2263,0,0,31
2264,0,0,32
2265,0,0,33
2266,0,0,34
2267,0,0,35
2268,0,0,36
2269,0,0,37
2270,0,0,38
2271,0,0,39
2272,0,0,40
2273,0,0,41
2274,0,0,42
2275,0,0,43
2276,0,0,44
2277,0,0,45
2278,0,0,46
2279,0,0,47
2280,0,0,48
2281,0,0,49
2282,0,0,50
2283,0,0,51
2284,0,0,52
2285,0,0,53
2286,0,0,54
2287,0,0,55
2288,0,0,56
2289,0,0,57
2290,0,0,58
2291,0,0,59
2292,0,0,60
2293,0,0,61
2294,0,0,62
2295,0,0,63
2296,0,0,64
2297,0,0,65
2298,0,0,66
2299,0,0,67
2300,0,0,68
2301,0,0,69
2302,0,0,70
2303,0,0,71
2304,0,0,72
2305,0,0,73
2306,0,0,74
2307,0,0,75
2308,0,0,76
2309,0,0,77
2310,0,0,78
2311,0,0,79
2312,0,0,80
2313,0,0,81
2314,0,1,6
2315,0,0,23
2316,0,0,17
2317,0,0,17
2318,0,0,15
2319,0,1,2
2320,0,1,3
2321,0,0,19
2322,0,0,21
2323,0,0,13
2324,0,0,5
2325,0,0,16
2326,0,0,27
2327,0,0,29
2328,0,0,30
2329,0,0,31
2330,0,0,32
2331,0,0,33
2332,0,0,34
2333,0,0,6
2334,0,0,7
2335,0,0,8
2336,0,0,9
2337,0,0,10
2338,0,0,11
2339,0,0,12
2340,0,0,13
2341,0,0,14
2342,0,0,15
2343,0,0,17
2344,0,0,18
2345,0,0,19
2346,0,0,20
2347,0,0,21
2348,0,0,22
2349,0,0,23
2350,0,0,24
2351,0,0,25
2352,0,0,26
2353,0,0,28
2354,0,0,13
2355,0,0,6
2356,0,0,3
2357,0,0,48
2358,0,0,9
2359,0,0,32
2360,0,0,38
2361,0,0,27
2362,0,0,24
2363,0,0,31
2364,0,0,26
2365,0,0,22
2366,0,0,5
2367,0,0,34
2368,0,0,35
2369,0,1,1
2370,0,1,0
2371,0,0,25
2372,0,0,11
2373,0,0,53
2374,0,0,64
2375,0,0,71
2376,0,0,77
2377,0,0,53
2378,0,0,54
2379,0,0,55
2380,0,0,40
2381,0,0,68
2382,0,0,83
2383,0,0,56
2384,0,0,51
2385,0,0,47
2386,0,0,66
2387,0,0,75
2388,0,0,20
2389,0,0,62
2390,0,0,35
2391,0,0,36
2392,0,0,37
2393,0,0,38
2394,0,0,39
2395,0,0,71
2396,0,0,72
2397,0,0,73
2398,0,0,74
2399,0,0,75
2400,0,0,76
2401,0,0,77
2402,0,0,78
