id,codPermiso,codOpe,tipotabla,valor
6403,18,1,4,True
6417,19,1,4,True
6431,20,1,4,True
6445,21,1,4,True
6459,22,1,4,True
6473,23,1,4,True
6487,24,1,4,True
6501,25,1,4,True
6515,26,1,4,True
6529,27,1,4,True
6543,28,1,4,True
6557,29,1,4,True
6571,30,1,4,True
6585,31,1,4,True
6599,32,1,4,True
6613,33,1,4,True
6627,34,1,4,True
6641,35,1,4,True
6655,36,1,4,True
6669,37,1,4,True
6683,38,1,4,True
6697,39,1,4,True
6711,40,1,4,True
6725,41,1,4,True
6739,42,1,4,True
6753,43,1,4,True
6767,44,1,4,True
6781,45,1,4,True
6795,46,1,4,True
6809,47,1,4,True
6823,48,1,4,True
6837,49,1,4,True
6851,50,1,4,True
6865,51,1,4,True
6879,52,1,4,True
6893,53,1,4,True
6907,54,1,4,True
6921,55,1,4,True
6935,56,1,4,True
6949,57,1,4,True
6963,58,1,4,True
6977,59,1,4,True
6991,60,1,4,True
7005,61,1,4,True
7019,62,1,4,True
7033,63,1,4,True
7047,64,1,4,True
7061,65,1,4,True
7075,66,1,4,True
7089,67,1,4,True
7103,68,1,4,True
7117,69,1,4,True
7131,70,1,4,True
7145,71,1,4,True
7159,72,1,4,True
7173,73,1,4,True
7187,74,1,4,True
7201,75,1,4,True
7215,76,1,4,True
7229,77,1,4,True
7243,78,1,4,True
7257,79,1,4,True
7271,80,1,4,True
7285,81,1,4,True
7299,82,1,4,True
7313,83,1,4,True
7327,84,1,4,True
7341,85,1,4,True
7355,86,1,4,True
7369,87,1,4,True
7383,88,1,4,True
7393,98,1,4,True
6166,1,1,5,True
6180,2,1,5,True
6194,3,1,5,True
6208,4,1,5,True
6222,5,1,5,True
6236,6,1,5,True
6250,7,1,5,True
6264,8,1,5,True
6278,9,1,5,True
6292,10,1,5,True
6306,11,1,5,True
6320,12,1,5,True
6334,13,1,5,True
6348,14,1,5,True
6362,15,1,5,True
6376,16,1,5,True
6390,17,1,5,True
6404,18,1,5,True
6418,19,1,5,True
6432,20,1,5,True
6446,21,1,5,True
6460,22,1,5,True
6474,23,1,5,True
6488,24,1,5,True
6502,25,1,5,True
6516,26,1,5,True
6530,27,1,5,True
6544,28,1,5,True
6558,29,1,5,True
6572,30,1,5,True
6586,31,1,5,True
6600,32,1,5,True
6614,33,1,5,True
6628,34,1,5,True
6642,35,1,5,True
6656,36,1,5,True
6670,37,1,5,True
6684,38,1,5,True
6698,39,1,5,True
6712,40,1,5,True
6726,41,1,5,True
6740,42,1,5,True
6754,43,1,5,True
6768,44,1,5,True
6782,45,1,5,True
6796,46,1,5,True
6810,47,1,5,True
6824,48,1,5,True
6838,49,1,5,True
6852,50,1,5,True
6866,51,1,5,True
6880,52,1,5,True
6894,53,1,5,True
6908,54,1,5,True
6922,55,1,5,True
6936,56,1,5,True
6950,57,1,5,True
6964,58,1,5,True
6978,59,1,5,True
6992,60,1,5,True
7006,61,1,5,True
7020,62,1,5,True
7034,63,1,5,True
7048,64,1,5,True
7062,65,1,5,True
7076,66,1,5,True
7090,67,1,5,True
7104,68,1,5,True
7118,69,1,5,True
7132,70,1,5,True
7146,71,1,5,True
7160,72,1,5,True
7174,73,1,5,True
7188,74,1,5,True
7202,75,1,5,True
7216,76,1,5,True
7230,77,1,5,True
7244,78,1,5,True
7258,79,1,5,True
7272,80,1,5,True
7286,81,1,5,True
7300,82,1,5,True
7314,83,1,5,True
7328,84,1,5,True
7342,85,1,5,True
7356,86,1,5,True
7370,87,1,5,True
7384,88,1,5,True
6167,1,1,6,True
6181,2,1,6,True
6195,3,1,6,True
6209,4,1,6,True
6223,5,1,6,True
6237,6,1,6,True
6251,7,1,6,True
6265,8,1,6,True
6279,9,1,6,True
6293,10,1,6,True
6307,11,1,6,True
6321,12,1,6,True
6335,13,1,6,True
