idcolumna,idgrupo,nombre,texto,campo,tipo,orden,imagenes,usarEtiquetasIni,tabla,desglosable,actualizable,campoVisualizacion,anchoPropio,tablaorigen,parteSql,parteSqlIdgestorbasedatos,parteSqlResto,verColumnaDefecto,visibleDashboard,disponible
3753,78,zona,etiotrodatoszona|3,zona,0,33,,4,,0,0,tipoficherocli:3:bverotrosdatoszona,100,,,,,0,False,True
3754,78,sector,etiotrodatossector|3,sector,0,34,,4,,0,0,tipoficherocli:3:bverotrosdatossector,100,,,,,0,False,True
3755,78,empresa,etiotrodatosempresa|3,empresa,0,35,,4,,0,0,tipoficherocli:3:bverotrosdatosempresa,100,,,,,0,False,True
3756,78,departamento,etiotrodatosdepartamento|3,departamento,0,36,,4,,0,0,tipoficherocli:3:bverotrosdatosdepartamento,100,,,,,0,False,True
3757,78,cargo,etiotrodatoscargo|3,cargo,0,37,,4,,0,0,tipoficherocli:3:bverotrosdatoscargo,100,,,,,0,False,True
3758,78,numempleados,etiotrodatosnumempleados|3,numempleados,16,38,,4,,0,0,tipoficherocli:3:bverotrosdatosnumempleados,100,,,,,0,False,True
3759,78,fechanacimiento,etiotrodatosfechanacimiento|3,fechanacimiento,6,39,,4,,0,0,,100,,,,,0,False,True
3760,78,fechapermiso,etiotrodatosfechapermiso|3,fechapermiso,6,40,,4,,0,0,tipoficherocli:3:bverotrosdatosfechapermiso,100,,,,,0,False,True
3761,78,campofecha9,etiotrodatosfecha9|3,campofecha9,6,41,,4,,0,0,tipoficherocli:3:bverotrosdatosfecha9,100,,,,,0,False,True
3762,78,campofecha10,etiotrodatosfecha10|3,campofecha10,6,42,,4,,0,0,tipoficherocli:3:bverotrosdatosfecha10,100,,,,,0,False,True
3763,78,campofecha11,etiotrodatosfecha11|3,campofecha11,6,43,,4,,0,0,tipoficherocli:3:bverotrosdatosfecha11,100,,,,,0,False,True
3764,78,campofecha12,etiotrodatosfecha12|3,campofecha12,6,44,,4,,0,0,tipoficherocli:3:bverotrosdatosfecha12,100,,,,,0,False,True
3765,78,campofecha13,etiotrodatosfecha13|3,campofecha13,6,45,,4,,0,0,tipoficherocli:3:bverotrosdatosfecha13,100,,,,,0,False,True
3766,78,campo1,etiotrodatoscampo1|3,campo1,0,46,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo1,100,,,,,0,False,True
3767,78,campo2,etiotrodatoscampo2|3,campo2,0,47,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo2,100,,,,,0,False,True
3768,78,campo3,etiotrodatoscampo3|3,campo3,0,48,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo3,100,,,,,0,False,True
3769,78,campo4,etiotrodatoscampo4|3,campo4,0,49,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo4,100,,,,,0,False,True
3770,78,campo7,etiotrodatoscampo7|3,campo7,0,50,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo7,100,,,,,0,False,True
3771,78,campo8,etiotrodatoscampo8|3,campo8,0,51,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo8,100,,,,,0,False,True
3772,78,campo9,etiotrodatoscampo9|3,campo9,0,52,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo9,100,,,,,0,False,True
3773,78,campo10,etiotrodatoscampo10|3,campo10,0,53,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo10,100,,,,,0,False,True
3774,78,campo6,etiotrodatoscampo6|3,campo6,0,54,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo6,100,,,,,0,False,True
3775,78,campo5,etiotrodatoscampo5|3,campo5,0,55,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo5,100,,,,,0,False,True
3776,78,perso88,etiotrodatosperso88|3,perso88,0,56,,4,,0,0,tipoficherocli:3:bverotrosdatosperso88,100,,,,,0,False,True
3777,78,perso85,etiotrodatosperso85|3,perso85,0,57,,4,,0,0,tipoficherocli:3:bverotrosdatosperso85,100,,,,,0,False,True
3778,78,perso86,etiotrodatosperso86|3,perso86,0,58,,4,,0,0,tipoficherocli:3:bverotrosdatosperso86,100,,,,,0,False,True
3779,78,perso87,etiotrodatosperso87|3,perso87,0,59,,4,,0,0,tipoficherocli:3:bverotrosdatosperso87,100,,,,,0,False,True
3780,78,perso83,etiotrodatosperso83|3,perso83,0,60,,4,,0,0,tipoficherocli:3:bverotrosdatosperso83,100,,,,,0,False,True
3781,78,perso84,etiotrodatosperso84|3,perso84,0,61,,4,,0,0,tipoficherocli:3:bverotrosdatosperso84,100,,,,,0,False,True
3782,78,persofecha2,etiotrodatoscampopersofecha2|3,persofecha2,6,62,,4,,0,0,tipoficherocli:3:bverotrosdatospersofecha2,100,,,,,0,False,True
3783,78,campofecha1,etiotrodatoscampofecha1|3,campofecha1,6,63,,4,,0,0,tipoficherocli:3:bverotrosdatoscampofecha1,100,,,,,0,False,True
3784,78,campofecha2,etiotrodatoscampofecha2|3,campofecha2,6,64,,4,,0,0,tipoficherocli:3:bverotrosdatoscampofecha2,100,,,,,0,False,True
3785,78,campofecha3,etiotrodatoscampofecha3|3,campofecha3,6,65,,4,,0,0,tipoficherocli:3:bverotrosdatoscampofecha3,100,,,,,0,False,True
3786,78,campofecha4,etiotrodatoscampofecha4|3,campofecha4,6,66,,4,,0,0,tipoficherocli:3:bverotrosdatoscampofecha4,100,,,,,0,False,True
3787,78,persofecha3,etiotrodatoscampopersofecha3|3,persofecha3,6,67,,4,,0,0,tipoficherocli:3:bverotrosdatospersofecha3,100,,,,,0,False,True
3788,78,persofecha4,etiotrodatoscampopersofecha4|3,persofecha4,6,68,,4,,0,0,tipoficherocli:3:bverotrosdatospersofecha4,100,,,,,0,False,True
3789,78,persofecha5,etiotrodatoscampopersofecha5|3,persofecha5,6,69,,4,,0,0,tipoficherocli:3:bverotrosdatospersofecha5,100,,,,,0,False,True
3790,78,campo19,etiotrodatoscampo19|3,campo19,0,70,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo19,100,,,,,0,False,True
3791,78,campo20,etiotrodatoscampo20|3,campo20,0,71,,4,,0,0,tipoficherocli:3:bverotrosdatoscampo20,100,,,,,0,False,True
3792,78,perso74,etiotrodatosperso74|3,perso74,0,72,,4,,0,0,tipoficherocli:3:bverotrosdatosperso74,100,,,,,0,False,True
3793,78,perso75,etiotrodatosperso75|3,perso75,0,73,,4,,0,0,tipoficherocli:3:bverotrosdatosperso75,100,,,,,0,False,True
3794,78,perso76,etiotrodatosperso76|3,perso76,0,74,,4,,0,0,tipoficherocli:3:bverotrosdatosperso76,100,,,,,0,False,True
3795,78,perso77,etiotrodatosperso77|3,perso77,0,75,,4,,0,0,tipoficherocli:3:bverotrosdatosperso77,100,,,,,0,False,True
