id,dato,llave,valor,tabla
1,,estado,Abierta,oporcli
2,,estado,Cerrada,oporcli
3,,estado,Pospuesta,oporcli
4,,estado,Perdida,oporcli
5,,tipo,DESCUENTO,cuentas
6,,tipo,GASTO,cuentas
7,,tipo,HONORARIO,cuentas
8,,tipo,SUPLIDO,cuentas
2562,0,2332,0|34,FiltroConfigPersonal
2563,0,2333,0|6,FiltroConfigPersonal
2564,0,2334,0|7,FiltroConfigPersonal
2565,0,2335,0|8,FiltroConfigPersonal
2566,0,2336,0|9,FiltroConfigPersonal
2567,0,2337,0|10,FiltroConfigPersonal
2568,0,2338,0|11,FiltroConfigPersonal
2569,0,2339,0|12,FiltroConfigPersonal
2570,0,2340,0|13,FiltroConfigPersonal
2571,0,2341,0|14,FiltroConfigPersonal
2572,0,2342,0|15,FiltroConfigPersonal
2573,0,2343,0|17,FiltroConfigPersonal
2574,0,2344,0|18,FiltroConfigPersonal
2575,0,2345,0|19,FiltroConfigPersonal
2576,0,2346,0|20,FiltroConfigPersonal
2577,0,2347,0|21,FiltroConfigPersonal
2578,0,2348,0|22,FiltroConfigPersonal
2579,0,2349,0|23,FiltroConfigPersonal
2580,0,2350,0|24,FiltroConfigPersonal
2581,0,2351,0|25,FiltroConfigPersonal
2582,0,2352,0|26,FiltroConfigPersonal
2583,0,2353,0|28,FiltroConfigPersonal
2584,0,2354,0|55,FiltroConfigPersonal
2585,0,2355,1|0,FiltroConfigPersonal
2586,0,2356,0|49,FiltroConfigPersonal
2587,0,2357,0|48,FiltroConfigPersonal
2588,0,2358,0|52,FiltroConfigPersonal
2589,0,2359,0|74,FiltroConfigPersonal
2590,0,2360,0|80,FiltroConfigPersonal
2591,0,2361,0|70,FiltroConfigPersonal
2592,0,2362,1|2,FiltroConfigPersonal
2593,0,2363,0|73,FiltroConfigPersonal
2594,0,2364,0|69,FiltroConfigPersonal
2595,0,2365,0|63,FiltroConfigPersonal
2596,0,2366,0|50,FiltroConfigPersonal
2597,0,2367,0|76,FiltroConfigPersonal
2598,0,2368,0|78,FiltroConfigPersonal
2599,0,2369,0|57,FiltroConfigPersonal
2600,0,2370,1|1,FiltroConfigPersonal
2601,0,2371,0|67,FiltroConfigPersonal
2602,0,2372,0|54,FiltroConfigPersonal
2603,0,2373,0|53,FiltroConfigPersonal
2604,0,2374,0|64,FiltroConfigPersonal
2605,0,2375,0|71,FiltroConfigPersonal
2606,0,2376,0|77,FiltroConfigPersonal
2607,0,2377,0|53,FiltroConfigPersonal
2608,0,2378,0|54,FiltroConfigPersonal
2609,0,2379,0|55,FiltroConfigPersonal
2610,0,2380,0|40,FiltroConfigPersonal
2611,0,2381,0|68,FiltroConfigPersonal
2612,0,2382,0|83,FiltroConfigPersonal
2613,0,2383,0|56,FiltroConfigPersonal
2614,0,2384,0|51,FiltroConfigPersonal
2615,0,2385,0|47,FiltroConfigPersonal
2616,0,2386,0|66,FiltroConfigPersonal
2617,0,2387,0|75,FiltroConfigPersonal
2618,0,2388,0|61,FiltroConfigPersonal
2619,0,2389,0|62,FiltroConfigPersonal
2620,0,2390,0|35,FiltroConfigPersonal
2621,0,2391,0|36,FiltroConfigPersonal
2622,0,2392,0|37,FiltroConfigPersonal
2623,0,2393,0|38,FiltroConfigPersonal
2624,0,2394,0|39,FiltroConfigPersonal
2625,0,2395,0|71,FiltroConfigPersonal
2626,0,2396,0|72,FiltroConfigPersonal
2627,0,2397,0|73,FiltroConfigPersonal
2628,0,2398,0|74,FiltroConfigPersonal
2629,0,2399,0|75,FiltroConfigPersonal
2630,0,2400,0|76,FiltroConfigPersonal
2631,0,2401,0|77,FiltroConfigPersonal
2632,0,2402,0|78,FiltroConfigPersonal
2633,0,2403,0|79,FiltroConfigPersonal
2634,0,2404,0|80,FiltroConfigPersonal
2635,0,2405,0|41,FiltroConfigPersonal
2636,0,2406,0|42,FiltroConfigPersonal
2637,0,2407,0|43,FiltroConfigPersonal
2638,0,2408,0|44,FiltroConfigPersonal
2639,0,2409,0|85,FiltroConfigPersonal
2640,0,2410,0|86,FiltroConfigPersonal
2641,0,2411,0|87,FiltroConfigPersonal
2642,0,2412,0|88,FiltroConfigPersonal
2643,0,2413,0|45,FiltroConfigPersonal
2644,0,2414,0|46,FiltroConfigPersonal
2645,0,2415,0|91,FiltroConfigPersonal
2646,0,2416,0|92,FiltroConfigPersonal
2647,0,2417,0|93,FiltroConfigPersonal
2648,0,2418,0|94,FiltroConfigPersonal
2649,0,2419,0|95,FiltroConfigPersonal
2650,0,2420,0|96,FiltroConfigPersonal
2651,0,2421,0|97,FiltroConfigPersonal
2652,0,2422,0|98,FiltroConfigPersonal
2653,0,2423,0|99,FiltroConfigPersonal
2654,0,2424,0|100,FiltroConfigPersonal
2655,0,2425,0|101,FiltroConfigPersonal
2656,0,2426,0|102,FiltroConfigPersonal
2657,0,2427,0|103,FiltroConfigPersonal
2658,0,2428,0|104,FiltroConfigPersonal
2659,0,2429,0|105,FiltroConfigPersonal
2660,0,2430,0|106,FiltroConfigPersonal
2661,0,2431,0|107,FiltroConfigPersonal
2662,0,2432,0|108,FiltroConfigPersonal
2663,0,2433,0|109,FiltroConfigPersonal
2664,0,2434,0|110,FiltroConfigPersonal
2665,0,2435,0|111,FiltroConfigPersonal
2666,0,2436,0|112,FiltroConfigPersonal
2667,0,2437,0|113,FiltroConfigPersonal
2668,0,2438,0|114,FiltroConfigPersonal
2669,0,2439,0|115,FiltroConfigPersonal
2670,0,2440,0|116,FiltroConfigPersonal
2671,0,2441,0|117,FiltroConfigPersonal
2672,0,2442,0|118,FiltroConfigPersonal
2673,0,2443,0|72,FiltroConfigPersonal
2674,0,2444,0|81,FiltroConfigPersonal
2675,0,2445,1|3,FiltroConfigPersonal
2676,0,2446,0|122,FiltroConfigPersonal
2677,0,2447,0|58,FiltroConfigPersonal
2678,0,2448,0|59,FiltroConfigPersonal
2679,0,2449,0|60,FiltroConfigPersonal
2680,0,2450,0|65,FiltroConfigPersonal
2681,0,2451,0|82,FiltroConfigPersonal
2682,0,2452,0|79,FiltroConfigPersonal
2683,0,2453,1|4,FiltroConfigPersonal
2684,42|0,TabOrder,1,config
2685,42|0,OpcionTipoVista,1,config
2692,34|0,TabOrder,1,config
2693,34|0,OpcionTipoVista,1,config
2694,32|0,TabOrder,1,config
2695,32|0,OpcionTipoVista,1,config
2696,0,1668,0|0,FiltroConfigPersonal
2697,0,1669,0|1,FiltroConfigPersonal
2698,0,1670,0|8,FiltroConfigPersonal
2699,0,1671,1|3,FiltroConfigPersonal
2700,0,1672,0|9,FiltroConfigPersonal
2701,0,1673,1|6,FiltroConfigPersonal
2702,0,1674,0|12,FiltroConfigPersonal
2703,0,1675,0|7,FiltroConfigPersonal
2704,0,1676,1|1,FiltroConfigPersonal
2705,0,1677,0|13,FiltroConfigPersonal
2706,0,1678,0|14,FiltroConfigPersonal
2707,0,1679,1|4,FiltroConfigPersonal
2708,0,1680,0|17,FiltroConfigPersonal
2709,0,1681,1|2,FiltroConfigPersonal
2710,0,1682,0|10,FiltroConfigPersonal
2711,0,1683,0|11,FiltroConfigPersonal
2712,0,1684,0|15,FiltroConfigPersonal
2713,0,1685,0|16,FiltroConfigPersonal
2714,0,1686,0|18,FiltroConfigPersonal
2715,0,1687,1|5,FiltroConfigPersonal
2716,0,1688,1|0,FiltroConfigPersonal
2717,0,1689,0|19,FiltroConfigPersonal
2718,0,1929,0|20,FiltroConfigPersonal
2719,35|0,TabOrder,1,config
2720,35|0,OpcionTipoVista,1,config
2721,22|0,TabOrder,1,config
2722,22|0,OpcionTipoVista,0,config
2724,2|0,TabOrder,1,config
2725,2|0,OpcionTipoVista,1,config
2726,52|0,TabOrder,1,config
2727,52|0,OpcionTipoVista,1,config
2862,rutaPlantillas,ALLINONEMN008,C:\MNProgram\DOCS-MNPROGRAM_9362,ApiOneDrive
2876,rutaPlantillas,ALLINONEMN081,C:\MNProgram\DOCS-MNPROGRAM_9362,ApiOneDrive
2884,,38,06/05/2021 13:55:46,UltimaActualizacionSuges
2950,51|0,TabOrder,1,config
2951,51|0,OpcionTipoVista,1,config
2965,rutaPlantillas,ALLINONEMN007,C:\MNProgram\DOCS-MNPROGRAM_9362,ApiOneDrive
3421,rutaPlantillas,ALLINONEMN019,C:\MNProgram\DOCS-MNPROGRAM_9362,ApiOneDrive
3426,41,,18.01.3.0,CONSULTATODOSDEFECTO
3620,0,2232,0|16,FiltroConfigPersonal
3621,0,2233,1|0,FiltroConfigPersonal
3622,0,2234,1|5,FiltroConfigPersonal
3623,0,2235,0|15,FiltroConfigPersonal
3624,0,2236,1|1,FiltroConfigPersonal
3625,0,2237,1|7,FiltroConfigPersonal
3626,0,2238,0|22,FiltroConfigPersonal
3627,0,2239,1|3,FiltroConfigPersonal
3628,0,2240,1|4,FiltroConfigPersonal
3629,0,2241,0|24,FiltroConfigPersonal
3630,0,2242,1|2,FiltroConfigPersonal
3631,0,2243,1|10,FiltroConfigPersonal
3632,0,2244,1|13,FiltroConfigPersonal
3633,0,2245,0|20,FiltroConfigPersonal
3634,0,2246,0|23,FiltroConfigPersonal
3635,0,2247,0|25,FiltroConfigPersonal
3636,0,2248,0|16,FiltroConfigPersonal
3637,0,2249,0|17,FiltroConfigPersonal
3638,0,2250,0|18,FiltroConfigPersonal
3639,0,2251,0|19,FiltroConfigPersonal
3640,0,2252,0|21,FiltroConfigPersonal
3641,0,2253,0|21,FiltroConfigPersonal
3642,0,2254,0|22,FiltroConfigPersonal
3643,0,2255,0|23,FiltroConfigPersonal
3644,0,2256,0|24,FiltroConfigPersonal
3645,0,2257,0|25,FiltroConfigPersonal
3646,0,2258,0|26,FiltroConfigPersonal
3647,0,2259,0|27,FiltroConfigPersonal
3648,0,2260,0|28,FiltroConfigPersonal
3649,0,2261,0|14,FiltroConfigPersonal
3650,0,2262,0|30,FiltroConfigPersonal
3651,0,2263,0|31,FiltroConfigPersonal
3652,0,2264,0|32,FiltroConfigPersonal
3653,0,2265,0|33,FiltroConfigPersonal
3654,0,2266,0|34,FiltroConfigPersonal
3655,0,2267,0|35,FiltroConfigPersonal
3656,0,2268,0|36,FiltroConfigPersonal
3657,0,2269,0|37,FiltroConfigPersonal
3658,0,2270,0|38,FiltroConfigPersonal
3659,0,2271,0|39,FiltroConfigPersonal
3660,0,2272,0|40,FiltroConfigPersonal
3661,0,2273,0|41,FiltroConfigPersonal
3662,0,2274,0|42,FiltroConfigPersonal
