NumCta,Descripcion,Descripcion2,tipoPGC
5440000000,Cr?ditos a corto plazo al personal,,2
545,Dividendo a cobrar,,
5450000000,Dividendo a cobrar,,2
546,Intereses a corto plazo de valores representativos de deudas,,
5460000000,Intereses a corto plazo de valores representativos de deudas,,2
547,Intereses a corto plazo de créditos,,
5470000000,Intereses a corto plazo de cr?ditos,,2
548,Imposiciones a corto plazo,,
5480000000,Imposiciones a corto plazo,,2
549,Desembolsos pendientes sobre participaciones en el patrimonio neto a corto plazo,,
5490000000,Desembolsos pendientes sobre participaciones en el patrimonio neto a corto plazo,,2
550,Titular de la explotación,,1
551,Cuenta corriente con socios y administradores,Cuenta corriente con patronos y otros,0
5510000000,Cuenta corriente con patronos y otros,,2
552,Cuenta corriente con otras personas y entidades vinculadas,,
5523000000,Cuenta corriente con empresas del grupo,Cuenta corriente con entidades del grupo,0
5524000000,Cuenta corriente con empresas asociadas,Cuenta corriente con entidades asociadas,0
5525000000,Cuenta corriente con otras partes vinculadas,,
553,Cuentas corrientes en fusiones y escisiones,,1
5530000000,Socios de sociedad disuelta,,1
5531000000,"Socios, cuenta de fusión",,1
5532000000,Socios de sociedad escindida,,1
5533000000,"Socios, cuenta de escisión",,1
554,Cuenta corriente con uniones temporales de empresas y comunidades de bienes,,
5540000000,Cuenta corriente con uniones temporales de empresas y comunidades de bienes,,2
555,Partidas pendientes de aplicación,,
5550000000,Partidas pendientes de aplicaci?n,,2
556,Desembolsos exigidos sobre participaciones en el patrimonio neto,,
5563000000,"Desembolsos exigidos sobre participaciones, empresas del grupo","Desembolsos exigidos sobre participaciones, entidades del grupo",0
5564000000,"Desembolsos exigidos sobre participaciones, empresas asociadas","Desembolsos exigidos sobre participaciones, entidades asociadas",0
5565000000,"Desembolsos exigidos sobre participaciones, otras partes vinculadas",,
5566000000,Desembolsos exigidos sobre participaciones de otras empresas,Desembolsos exigidos sobre participaciones de otras entidades,0
557,Dividendo activo a cuenta,,1
558,Socios por desembolsos exigidos,Fundadores y asociados por desembolsos,0
5580000000,Socios por desembolsos exigidos sobre acciones o participaciones ordinarias,Fundadores y asociados por desembolsos,0
5585000000,Socios por desembolsos exigidos sobre acciones o participaciones consideradas como pasivos financieros,,1
559,Derivados financieros a corto plazo,,
5590000000,"Activos por derivados financieros a corto plazo, cartera de negociación",Activos por derivados financieros a corto plazo,0
