id,codope,aplicacion,equipo,tipo,fecha,versionSO
179,1,AppAngular,MNCLOUDIIS02,0,2024-08-23 13:12:42.323000,
180,1,AppAngular,MNCLOUDIIS02,0,2024-08-23 13:19:27.673000,
181,1,AppAngular,MNCLOUDIIS02,0,2024-08-23 13:24:04.223000,
182,1,AppAngular,MNCLOUDIIS02,0,2024-08-23 15:06:26.657000,
183,1,AppAngular,MNCLOUDIIS02,0,2024-08-23 16:44:33.860000,
184,1,AppAngular,MNCLOUDIIS02,0,2024-08-23 16:46:49.987000,
185,1,AppAngular,MNCLOUDIIS02,0,2024-08-23 18:14:51.343000,
186,1,AppAngular,MNCLOUDIIS02,0,2024-08-23 18:15:50.860000,
187,1,AppAngular,MNCLOUDIIS02,0,2024-08-23 19:07:17.013000,
188,1,AppAngular,MNCLOUDIIS02,0,2024-08-23 19:12:21.083000,
189,1,AppAngular,MNCLOUDIIS02,0,2024-08-23 19:49:43.417000,
190,1,AppAngular,MNCLOUDIIS02,0,2024-08-24 16:08:45.673000,
191,1,AppAngular,MNCLOUDIIS02,0,2024-08-24 16:09:22.727000,
192,1,AppAngular,MNCLOUDIIS02,0,2024-08-24 16:09:42.863000,
193,1,AppAngular,MNCLOUDIIS02,0,2024-08-24 16:16:23.547000,
194,1,AppAngular,MNCLOUDIIS02,0,2024-08-25 19:28:43.437000,
195,1,AppAngular,MNCLOUDIIS02,0,2024-08-25 22:29:16.590000,
196,1,AppAngular,MNCLOUDIIS02,0,2024-08-25 22:29:24.357000,
197,1,AppAngular,MNCLOUDIIS02,0,2024-08-25 22:34:02.440000,
198,1,AppAngular,MNCLOUDIIS02,0,2024-08-25 22:35:04.300000,
199,1,AppAngular,MNCLOUDIIS02,0,2024-08-25 22:35:37.143000,
200,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 09:14:25.690000,
201,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 09:28:16.923000,
202,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 09:30:58.043000,
203,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 09:45:49.460000,
204,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 09:48:35.663000,
205,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 09:51:20.913000,
206,1,AppAngular,MNCLOUDIIS02,0,2024-08-26 09:59:29.273000,
