id,nombre,texto,accion,campoVisualizacion,usarEtiquetasIni,idPadre,esConfiguracion,icono,orden,campoPermiso,tipoAcceso
178,Seleccionar Impresora,Seleccionar Impresora,AbrirDelphi|108,,0,174,0,,30,,
179,Configuraciones Supervisor,Configuraciones Supervisor,,,0,170,0,,30,,
180,Configuraciones Generales,Configuraciones Generales,AbrirEjecutable|ConfigGenerales.exe,,0,179,0,,10,,
181,Personalización,Personalización,AbrirDelphi|109,,0,179,0,,20,,
182,Gestión de Permisos,Gestión de Permisos,,DELPHI,0,179,0,,30,,
183,Correo,Correo,AbrirTipoFichero|1004,bverlopd[OR]esFreemium,0,122,0,,10,,
184,SMS,SMS,AbrirTipoFichero|1005,bverlopd[OR]esFreemium,0,122,0,,20,,
185,Correo,Correo,"AbrirTipoFichero|1068,2",bcontrolcursos,0,135,0,,151,,
186,WhatsApp,WhatsApp,"AbrirTipoFichero|1071,2",bcontrolcursos,0,135,0,,187,permisoAccion:VerModuloWhatsApp,
187,Correo,Correo,"AbrirTipoFichero|1068,3",bcontrolcursos,0,138,0,,20,,
188,WhatsApp,WhatsApp,"AbrirTipoFichero|1071,3",bcontrolcursos,0,138,0,,10,permisoAccion:VerModuloWhatsApp,
189,Correo,Correo,AbrirTipoFichero|1072,bMostrarCitaOnline[AND]bVerModuloFormulariosClientes,0,141,0,,159,,
190,WhatsApp,WhatsApp,AbrirTipoFichero|1073,bMostrarCitaOnline[AND]bVerModuloFormulariosClientes,0,141,0,,160,permisoAccion:VerModuloWhatsApp,
191,Control Horario,Registro Horario,,bWorkControlHorario[OR]esFreemium,0,872,0,controlhorario_16x16,10,,
193,Libros/Declaraciones,Libros/Declaraciones,,DELPHI,0,428,0,,70,,
194,Libro del IVA/IGIC (Fra. Emitidas/Fra. Recibidas),Libro del IVA/IGIC (Fra. Emitidas/Fra. Recibidas),AbrirDelphi|30,DELPHI,0,428,0,,20,permisoAccion:VerLibrosConta,
196,Libro de Gastos,Libro de Gastos,AbrirTipoFichero|1161,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,428,0,,30,permisoAccion:VerLibrosConta,
197,Libro Bs. Inversión,Libro Bs. Inversión,AbrirTipoFichero|1168,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC[AND]bverbienes,0,428,0,,40,permisoAccion:VerLibrosConta,
199,I.V.A.,I.V.A.,,DELPHI,0,428,0,,80,,
200,Liquidación IVA Mód. 303,Liquidación IVA Mód. 303,AbrirDelphi|35,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,199,0,,10,LiqIvaPer,
201,Declaración Mód. 347,Declaración Mód. 347,AbrirDelphi|36,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,199,0,,20,Mod347Per,
202,I.R.P.F.,I.R.P.F.,,DELPHI,0,428,0,,90,,
203,Ventas,Ventas,AbrirDelphi|37,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,202,0,,10,IrpfVentaPer,
204,Nóminas,Nóminas,AbrirDelphi|38,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,202,0,,20,IrpfNominaPer,
205,Alquileres,Alquileres,AbrirDelphi|39,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,202,0,,30,IrpfAlquilerPer,
206,Profesionales,Profesionales,AbrirDelphi|40,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,202,0,,40,IrpfProfesPer,
