id,id_linedcto,id_tabla,id_field,indice,numero,itabla,seccion
12022,140,1,1,30,,,
12053,141,1,1,1,,,
12054,141,1,2,2,,,
12055,141,1,3,3,,,
12056,141,1,4,4,,,
12057,141,1,5,5,,,
12058,141,1,6,6,,,
12059,141,1,7,7,,,
12060,141,1,8,8,,,
12061,141,1,4,9,,,
12062,141,1,274,10,,,
12063,141,4,34,11,,,
12064,141,4,72,12,,,
12065,141,4,73,13,,,
12066,141,4,74,14,,,
12067,141,4,75,15,,,
12068,141,4,76,16,,,
12069,141,4,77,17,,,
12070,141,4,20,18,,,
12071,141,4,79,19,,,
12072,141,4,78,20,,,
12073,141,4,17,21,,,
12074,141,4,18,22,,,
12075,141,4,80,23,,,
12076,141,37,91,24,,,
12077,141,4,81,25,,,
12078,141,68,40,26,,3,
12079,141,68,249,27,,3,
12080,141,68,250,28,,3,
12081,141,68,251,29,,3,
12082,141,1,1,30,,,
12282,145,1,1,1,,,
12283,145,1,2,2,,,
12284,145,1,3,3,,,
12285,145,1,4,4,,,
12286,145,1,5,5,,,
12287,145,1,6,6,,,
12288,145,1,7,7,,,
12289,145,1,8,8,,,
12290,145,1,4,9,,,
12291,145,1,274,10,,,
12292,145,4,34,11,,,
12293,145,4,72,12,,,
12294,145,4,73,13,,,
12295,145,4,74,14,,,
12296,145,4,75,15,,,
12297,145,4,76,16,,,
12298,145,4,77,17,,,
12299,145,4,20,18,,,
12300,145,4,79,19,,,
12301,145,4,78,20,,,
12302,145,4,17,21,,,
12303,145,4,18,22,,,
12304,145,4,80,23,,,
12305,145,37,91,24,,,
12306,145,4,81,25,,,
12307,145,21,91,26,1,,
12308,145,21,26,27,1,,
12309,145,21,93,28,1,,
12310,145,1,1,29,,,
12389,146,1,1,1,,,
12390,146,1,2,2,,,
12391,146,1,3,3,,,
12392,146,1,4,4,,,
12393,146,1,5,5,,,
12394,146,1,6,6,,,
12395,146,1,7,7,,,
12396,146,1,8,8,,,
12397,146,1,4,9,,,
12398,146,1,274,10,,,
12399,146,4,34,11,,,
12400,146,4,72,12,,,
12401,146,4,73,13,,,
12402,146,4,74,14,,,
12403,146,4,75,15,,,
12404,146,4,76,16,,,
12405,146,4,77,17,,,
12406,146,4,20,18,,,
12407,146,4,79,19,,,
12408,146,4,78,20,,,
12409,146,4,17,21,,,
12410,146,4,18,22,,,
12411,146,4,45,23,1,,
12412,146,4,46,24,1,,
12413,146,4,47,25,1,,
12414,146,4,48,26,1,,
12415,146,4,49,27,1,,
12416,146,4,50,28,1,,
12417,146,4,51,29,1,,
12418,146,4,52,30,1,,
12419,146,4,53,31,1,,
12420,146,4,54,32,1,,
12421,146,4,55,33,1,,
12422,146,4,56,34,1,,
12423,146,4,57,35,1,,
12424,146,4,58,36,1,,
12425,146,4,59,37,1,,
12426,146,14,64,38,1,,
12427,146,14,49,39,1,,
12428,146,14,65,40,1,,
12429,146,14,64,41,2,,
12430,146,14,49,42,2,,
12431,146,14,65,43,2,,
12432,146,14,64,44,3,,
12433,146,14,49,45,3,,
12434,146,14,65,46,3,,
12435,146,14,64,47,4,,
12436,146,14,49,48,4,,
12437,146,14,65,49,4,,
12438,146,14,64,50,5,,
12439,146,14,49,51,5,,
12440,146,14,65,52,5,,
12441,146,15,66,53,1,,
12442,146,15,66,54,2,,
12443,146,15,66,55,3,,
12444,146,15,66,56,4,,
12445,146,15,66,57,5,,
12446,146,16,67,58,1,,
12447,146,16,68,59,1,,
12448,146,16,67,60,2,,
12449,146,16,68,61,2,,
12450,146,16,67,62,3,,
12451,146,16,68,63,3,,
12452,146,16,67,64,4,,
12453,146,16,68,65,4,,
12454,146,16,67,66,5,,
12455,146,16,68,67,5,,
12456,146,17,69,68,1,,
12457,146,17,69,69,2,,
12458,146,17,69,70,3,,
12459,146,17,69,71,4,,
12460,146,17,69,72,5,,
12461,146,18,70,73,1,,
12462,146,18,70,74,2,,
